"v1";"v2";"asso";"diss";"adja"
"85";"Alepocephalidae";"Liparidae";0.114155703569237;0.665523965169836;0.334476034830164
"86";"Alepocephalidae";"Loliginidae";0.179323752567226;0.640576399593668;0.359423600406332
"87";"Alepocephalidae";"Lysianassidae";0.0251275329659034;0.698166336568191;0.301833663431809
"88";"Alepocephalidae";"Microstomatidae";0.250242814450029;0.612273299087087;0.387726700912913
"89";"Alepocephalidae";"Oreosomatidae";0.0293766320535503;0.696643153969968;0.303356846030032
"90";"Alepocephalidae";"Saccosporidae";0.298616165367577;0.592192466446688;0.407807533553312
"91";"Alepocephalidae";"Zoarcidae";0.0899621588274757;0.674550902887441;0.325449097112559
"92";"Ammodytidae";"Bolbocoleonaceae";0.149527662502694;0.652101348525406;0.347898651474594
"93";"Ammodytidae";"Cionidae";0.0797024262086031;0.67834267659915;0.32165732340085
"94";"Ammodytidae";"Coleofasciculaceae";0.0426839245521277;0.691851167321366;0.308148832678634
"95";"Ammodytidae";"Crustomastigaceae";0.0824382567382443;0.677333648677576;0.322666351322424
"96";"Ammodytidae";"Cyaneidae";0.153310778501257;0.65064937619994;0.34935062380006
"97";"Ammodytidae";"Hexamitidae";0.0657468451180046;0.683466588386731;0.316533411613269
"98";"Ammodytidae";"Myctophidae";0.014859105069548;0.70183363232694;0.29816636767306
"99";"Ammodytidae";"Selenastraceae";0.0142295237669881;0.702057859521924;0.297942140478076
"100";"Ammodytidae";"Zosteraceae";0.00200144537637384;0.706398808968286;0.293601191031714
"101";"Amoebophryaceae";"Biddulphiaceae";0.0269396060897346;0.697517166064845;0.302482833935155
"102";"Amoebophryaceae";"Campanulariidae";0.0101410279808112;0.703512250077846;0.296487749922154
"103";"Amoebophryaceae";"Derbesiaceae";0.0619269015208044;0.684862430886377;0.315137569113623
"104";"Amoebophryaceae";"Gelidiaceae";0.0350036581339564;0.694620882880022;0.305379117119978
"105";"Amoebophryaceae";"Lateolabracidae";-0.0276655922215322;0.716821313934488;0.283178686065512
"106";"Amoebophryaceae";"Phyllophoraceae";0.0405412142446784;0.692625001626176;0.307374998373824
"107";"Amphipleuraceae";"Biddulphiaceae";0.0216875019880768;0.699397061050418;0.300602938949582
"108";"Amphipleuraceae";"Cymatosiraceae";0.120468663068165;0.663148300507449;0.336851699492551
"109";"Amphipleuraceae";"Fragilariaceae";0.0460871448930983;0.690620320837326;0.309379679162674
"110";"Amphipleuraceae";"Hemidiscaceae";0.0311738033776415;0.695997915450312;0.304002084549688
"111";"Amphipleuraceae";"Hexamitidae";-0.00931663798172283;0.710393073580297;0.289606926419703
"112";"Amphipleuraceae";"Lithodesmiaceae";0.0457915811375573;0.690727304680524;0.309272695319476
"113";"Amphipleuraceae";"Plagiogrammaceae";0.222214024194366;0.623612850976322;0.376387149023678
"114";"Amphipleuraceae";"Rhizosoleniaceae";0.0122274589979193;0.702770425175278;0.297229574824722
"115";"Amphipleuraceae";"Staurosiraceae";0.0642514381776727;0.684013363108619;0.315986636891381
"116";"Anarhichadidae";"Anomoeoneidaceae";0.0108515893050929;0.703259699789099;0.296740300210901
"117";"Anarhichadidae";"Eunotiaceae";0.0660954586770209;0.683339059809616;0.316660940190384
"118";"Anarhichadidae";"Monodopsidaceae";0.0200832342542514;0.699970272849408;0.300029727150592
"119";"Anarhichadidae";"Nostocaceae";-0.0143413788690882;0.712159174226201;0.287840825773799
"120";"Anarhichadidae";"Palmariaceae";0.0216344267421996;0.699416032579251;0.300583967420749
"121";"Anaulaceae";"Merulinidae";-0.0144776438768099;0.71220700778524;0.28779299221476
"122";"Anaulaceae";"Naviculaceae";0.156645585287534;0.649366774139417;0.350633225860583
"123";"Anaulaceae";"Plagiogrammaceae";0.195255172842131;0.634328316866695;0.365671683133305
"124";"Anaulaceae";"Rhizosoleniaceae";0.0326455824704783;0.695469056655119;0.304530943344881
"125";"Anomoeoneidaceae";"Attheyaceae";0.0609334631214544;0.685224976514482;0.314775023485518
"126";"Anomoeoneidaceae";"Delesseriaceae";0.0378445128925889;0.693597681335301;0.306402318664699
"127";"Anomoeoneidaceae";"Gymnodiniaceae";0.165292079669097;0.646029380264901;0.353970619735099
"128";"Anomoeoneidaceae";"Hymenomonadaceae";0.065166624184918;0.68367879000854;0.31632120999146
"129";"Anoplopomatidae";"Campanulariidae";0.204304547706968;0.630751715135612;0.369248284864388
"130";"Anoplopomatidae";"Ceratiidae";0.0336928887061924;0.695092479924005;0.304907520075995
"131";"Anoplopomatidae";"Chlorocystidaceae";0.00991740212010658;0.703591713239963;0.296408286760037
"132";"Anoplopomatidae";"Closteriaceae";0.0516736901794007;0.688595058732126;0.311404941267874
"133";"Anoplopomatidae";"Koliellaceae";0.0778331269087774;0.679031248578157;0.320968751421843
"134";"Anoplopomatidae";"Liparidae";0.191568565511713;0.635779613737452;0.364220386262548
"135";"Anoplopomatidae";"Loliginidae";0.00873967492858357;0.704010058547254;0.295989941452746
"136";"Anoplopomatidae";"Lysianassidae";0.0132503280957578;0.702406460642356;0.297593539357644
"137";"Anoplopomatidae";"Microstomatidae";0.015993233796078;0.701429528250673;0.298570471749327
"138";"Anoplopomatidae";"Odobenidae";0.0505812407287589;0.688991567173083;0.311008432826917
"139";"Anoplopomatidae";"Saccosporidae";0.0468880933263964;0.690330321901625;0.309669678098375
"140";"Anoplopomatidae";"Wrangeliaceae";0.0545441705533091;0.687552117823329;0.312447882176671
"141";"Aphanizomenonaceae";"Bryopsidaceae";0.112768991634784;0.666044671311623;0.333955328688377
"142";"Aphanizomenonaceae";"Calotrichaceae";0.0196164817540286;0.700136957404039;0.299863042595961
"143";"Aphanizomenonaceae";"Chroococcaceae";0.0221625289664703;0.699227241686681;0.300772758313319
"144";"Aphanizomenonaceae";"Chrysochromulinaceae";-0.0048128510498324;0.708806338519145;0.291193661480855
"145";"Aphanizomenonaceae";"Clupeidae";0.00568976547696687;0.705092275706887;0.294907724293113
"146";"Aphanizomenonaceae";"Haliotidae";-0.00989108081144183;0.710595201507666;0.289404798492334
"147";"Aphanizomenonaceae";"Liagoraceae";0.150275233660939;0.651814684683868;0.348185315316132
"148";"Aphanizomenonaceae";"Limulidae";0.121977796788259;0.662579128561918;0.337420871438082
"149";"Aphanizomenonaceae";"Merismopediaceae";0.0293130070769465;0.696665986295819;0.303334013704181
"150";"Aphanizomenonaceae";"Merulinidae";0.000526978409022216;0.706920441630802;0.293079558369198
"151";"Aphanothecaceae";"Bryopsidaceae";0.0453910338767609;0.690872262478108;0.309127737521892
"152";"Aphanothecaceae";"Calotrichaceae";0.0342190846033102;0.69490320023608;0.30509679976392
"153";"Aphanothecaceae";"Dermocarpellaceae";0.0671749127524627;0.682944026713587;0.317055973286413
"154";"Aphanothecaceae";"Gigartinaceae";0.0294811289198551;0.696605652819493;0.303394347180507
"155";"Aphanothecaceae";"Lingulidae";0.164895153433564;0.646182964247138;0.353817035752862
"156";"Aphanothecaceae";"Mustelidae";0.0140950706621396;0.702105736103139;0.297894263896861
