"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51"
"1";"Acipenseridae";"Acrochaetiaceae";"Acroporidae";"Aphanizomenonaceae";"Areschougiaceae";"Attheyaceae";"Bacillariaceae";"Balaenopteridae";"Batrachoididae";"Bolbocoleonaceae";"Calotrichaceae";"Chaetocerotaceae";"Chlamydomonadaceae";"Cionidae";"Cirratulidae";"Clupeidae";"Collosphaeridae";"Cottidae";"Crustomastigaceae";"Cyprinidae";"Delphinidae";"Echeneidae";"Euplotidae";"Gadidae";"Gasterosteidae";"Geminigeraceae";"Gonyaulacaceae";"Harpacticidae";"Histionidae";"Kallymeniaceae";"Lateolabracidae";"Monodontidae";"Monodopsidaceae";"Mustelidae";"Mytilidae";"Parastacidae";"Pelagiidae";"Penaeidae";"Phaeocystaceae";"Phocoenidae";"Picocystaceae";"Polynoidae";"Priapulidae";"Pyuridae";"Salmonidae";"Solieriaceae";"Sparidae";"Suessiaceae";"Triparmaceae";"Ulmaridae";"Zygnemataceae"
"2";"0.00668647960016526";"0.0153270158592462";"0.0290299301417653";"0.0320697536121782";"0.0368216030994438";"0.000591040458016838";"0.000558436505605184";"0.00662757836376618";"0.0113599682856432";"0.03400425188691";"0.0254495364562306";"0.00171124499104452";"0.0141500838710131";"4.2055165185685e-05";"0.0127064166724762";"0.00597642919347897";"0.0284129033102964";"0.0100150740069842";"0.030602369392573";"0.00900779447153805";"0.0300295954673842";"0.00629471986989696";"0.0280975878040887";"2.40092722998152e-05";"0.00582782861533506";"0.0258199691385042";"0.000970245748249332";"0.013885494989962";"0.0111008158758929";"0.00863813188265721";"0.0171016045496585";"0.0495049595060935";"0.0110649499807533";"0.0387814165288453";"0.00187727932963556";"0.0287271994682058";"0.000207119460605936";"0.0169963275981655";"0.000828746115989364";"0.0227927761503586";"0.0083429060572696";"0.0068738013112909";"8.09207384164069e-06";"0.0469184834787228";"0.00914628318115751";"0.0140835487887293";"0.0246142985381659";"0.000128554312891859";"0.0132110665766444";"0.028821138099604";"0.00133071289518309"
