"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51"
"1";"Acipenseridae";"Acrochaetiaceae";"Acroporidae";"Aphanizomenonaceae";"Areschougiaceae";"Attheyaceae";"Bacillariaceae";"Balaenopteridae";"Batrachoididae";"Bolbocoleonaceae";"Calotrichaceae";"Chaetocerotaceae";"Chlamydomonadaceae";"Cionidae";"Cirratulidae";"Clupeidae";"Collosphaeridae";"Cottidae";"Crustomastigaceae";"Cyprinidae";"Delphinidae";"Echeneidae";"Euplotidae";"Gadidae";"Gasterosteidae";"Geminigeraceae";"Gonyaulacaceae";"Harpacticidae";"Histionidae";"Kallymeniaceae";"Lateolabracidae";"Monodontidae";"Monodopsidaceae";"Mustelidae";"Mytilidae";"Parastacidae";"Pelagiidae";"Penaeidae";"Phaeocystaceae";"Phocoenidae";"Picocystaceae";"Polynoidae";"Priapulidae";"Pyuridae";"Salmonidae";"Solieriaceae";"Sparidae";"Suessiaceae";"Triparmaceae";"Ulmaridae";"Zygnemataceae"
"2";"0.412138892603595";"-0.371816425746377";"0.337101414319889";"-0.331348000758179";"-0.323196294917852";"-0.508164175288467";"-0.510108991140312";"0.412544062572729";"0.38693732052343";"0.327916892975416";"-0.344556541751963";"0.46942992623921";"-0.375916697362972";"0.58813149536312";"-0.381361678996122";"0.417244034214689";"0.338329660367944";"-0.393101319652639";"0.334066286670583";"-0.398201045665368";"0.335156598468043";"0.414894048393709";"-0.338965876219247";"-0.602730846084455";"0.418378510128266";"0.343746201813694";"0.490667124528507";"0.376878151677494";"-0.38807467584927";"0.400196006156471";"0.366111584109917";"0.305024311183144";"-0.38823386442466";"0.32008427561624";"0.465831818273112";"-0.337701296102743";"0.542344340402776";"0.366435720085225";"-0.49633321218974";"0.350675259181701";"-0.401842664598856";"-0.410870532538621";"-0.629147928072023";"-0.308394360694832";"0.397471739720926";"0.376157024842843";"0.346420323609982";"-0.556759952791731";"0.379401159097528";"0.337514592373345";"-0.479010908821178"
