knockouts;extinction;families_remaining;color
0.0;;1.0;black
0.05555555555555555;Phaeocystaceae;0.9444444444444444;#0077BB
0.1111111111111111;Attheyaceae;0.6111111111111112;#0077BB
0.16666666666666666;Bacillariaceae;0.5555555555555556;#0077BB
0.2222222222222222;Ulnariaceae;0.2777777777777778;black
0.2777777777777778;Eunotiaceae;0.1111111111111111;black
