;module;degree_centrality;betweenness_centrality;keystonness
Hemiaulaceae;2.0;0.04312834097374678;0.0;0.04312834097374678
Geminigeraceae;2.0;0.03513898365367381;0.007485120513289527;0.042624104166963335
Anaulaceae;2.0;0.10321309883534412;0.005332989372928305;0.10854608820827243
Fragilariaceae;2.0;0.194145229953389;0.010704823628633467;0.20485005358202246
Chaetocerotaceae;2.0;0.04905207783874798;0.001143574735124031;0.05019565257387201
Coscinodiscaceae;2.0;0.1758226463743432;0.014245515474708823;0.190068161849052
Heterocapsaceae;3.0;0.008507561237297024;0.0;0.008507561237297024
Skeletonemataceae;3.0;0.1336312370574644;0.013712434952824636;0.14734367201028906
Anomoeoneidaceae;3.0;0.04303877155616573;0.002823729178008704;0.04586250073417443
Bacillariaceae;3.0;0.22684118675618375;0.07190437873955066;0.2987455654957344
Syndiniaceae;3.0;0.050465264496713715;0.010840868478512525;0.06130613297522624
Oxystominidae;3.0;0.19791386707234424;0.035869592606981145;0.23378345967932537
Attheyaceae;3.0;0.22708716296349654;0.059337607733126886;0.2864247706966234
Gomphonemataceae;3.0;0.2145601055143201;0.0035419266781773393;0.21810203219249744
Codiaceae;3.0;0.02942041254803615;0.0;0.02942041254803615
Gymnodiniaceae;3.0;0.028210402158739555;0.0003139341807715687;0.028524336339511125
Stephanodiscaceae;3.0;0.31369218619767575;0.23975925189873845;0.5534514380964142
Leptocylindraceae;3.0;0.02942041254803615;0.0;0.02942041254803615
Terebellidae;3.0;0.03828301111430917;0.0;0.03828301111430917
Anarhichadidae;3.0;0.006642651140936357;0.0;0.006642651140936357
Phaeocystaceae;3.0;0.11632646111643198;0.004823257048910436;0.12114971816534242
Monodopsidaceae;3.0;0.03940285006592195;0.010637250073869793;0.050040100139791745
Eunotiaceae;3.0;0.12729611112776054;0.001007280909772784;0.12830339203753333
Ulnariaceae;3.0;0.17451654630425953;0.04925772016685458;0.2237742664711141
Niphatidae;4.0;0.000361817520210765;0.0;0.000361817520210765
Cavenderiaceae;4.0;7.878848938891537e-05;0.0;7.878848938891537e-05
Liagoraceae;4.0;9.837395237173945e-07;0.021077514035260515;0.02107849777478423
Acipenseridae;4.0;0.00038839452671664705;0.021077514035260515;0.02146590856197716
Gracilariaceae;4.0;2.8844634382174133e-08;0.0;2.8844634382174133e-08
Chlorobiaceae;4.0;0.0003866495427100499;0.1071804603026902;0.10756710984540024
Microcoleaceae;4.0;0.0021456359903550657;0.14695688106502633;0.14910251705538138
Leptolyngbyaceae;4.0;2.6765536466604177e-05;0.07134836993991925;0.07137513547638585
Gloeobacteraceae;4.0;7.176232937299648e-05;0.04417648079619911;0.04424824312557211
Apusomonadidae;4.0;1.2103544429253305e-05;0.0;1.2103544429253305e-05
Cyanothecaceae;4.0;9.786190779840288e-07;0.0;9.786190779840288e-07
Hyalellidae;4.0;7.878848938891537e-05;0.0;7.878848938891537e-05
Roseiflexaceae;4.0;7.546640641346409e-05;0.061408626502687406;0.06148409290910087
Bryopsidaceae;4.0;9.786190779840288e-07;0.0;9.786190779840288e-07
Dermocarpellaceae;4.0;1.7088180663938617e-07;0.010637250073869793;0.010637420955676432
Gloeomargaritaceae;4.0;5.8001756284217666e-06;0.02117600709150005;0.021181807267128473
Pseudanabaenaceae;4.0;5.659618269833564e-06;0.03132079188417217;0.031326451502442
