years_BP,AMI,T,A,H,DC,A/DC
1820,1.8036038740053466,0.7999999999999992,1.4428830992042758,12.812047443224525,10.24963795457961,0.1407740552006118
3220,1.7139739494672601,0.874386483082135,1.4986756537690744,12.33887316745379,10.788943914086444,0.13890846645447366
4680,1.8882934557342617,0.11295938104448641,0.2133004599900965,16.204112455379448,1.8304065133349154,0.116531742231114
7210,1.7278167466815673,0.8390079686368085,1.4496520188099609,12.458344670789483,10.452650454816293,0.13868750563088056
7970,2.0660662385126853,0.1971746318004202,0.40737584985401787,15.904784446424436,3.136020017088788,0.12990218418063246
9190,1.9509467193720735,0.2290388548057251,0.4468426023919661,15.460133185707594,3.540971199998454,0.1261921030004879
10150,2.0044670882619533,0.24495798319327663,0.4910102153179477,15.440338396535754,3.782234153437109,0.12982015269248776
11200,1.9018701981397141,0.14316239316239232,0.27227628904991474,15.584150725881011,2.231064313320559,0.12203874510666968
11740,1.9491644820876282,0.1531405472636806,0.29849611549382793,16.127234889696695,2.4697335768580753,0.12086166633146163
12430,2.0096315659526476,0.17972181551976482,0.36117463355883783,15.812142437245729,2.8417869460789213,0.12709419826746132
12620,2.0321894622219663,0.2192528735632175,0.4455633792170557,15.494895479934458,3.39730035953734,0.13115218910986562
13090,1.9953474285524124,0.22413793103448215,0.4472330443307119,15.507411734321002,3.47579918183056,0.12867056493614018
14330,1.9051570528781803,0.12596843615494882,0.2399896545806355,16.14447888592717,2.033694757796836,0.11800672331015086
14990,1.8047400529014759,0.20161445320007618,0.3638616789340076,14.97646678246237,3.0194721612152553,0.12050506164877613
16090,1.866139181927287,0.13812804570660311,0.25776615821613524,15.827350788911904,2.1862010331852644,0.1179059721880076
17540,1.8492626664970329,0.08492597577388884,0.1570504364144841,16.357052531728876,1.3891386470418337,0.11305598382776443
18750,1.862243723691779,0.1233087857509836,0.22963101234082348,16.130648199140857,1.9890506428123493,0.11544754437028544
20500,1.9045935222347379,0.1534330648254693,0.29222762136321145,15.827726857944361,2.428496641034799,0.1203327261917444
24550,1.8565282909921983,0.13995665564046925,0.259833490709184,15.688312224568515,2.1956837115940995,0.11833830589404015
26650,1.822414543551424,0.11401967673928251,0.20779111714070045,15.974067834678292,1.8213580507213893,0.11408581473499961
32240,1.7382833835840876,0.09992274014936836,0.1736940388438376,15.76993318894736,1.575774936212087,0.11022769486445223
38110,1.8367666758245926,0.15584028605482653,0.2862422441764773,15.34481632319254,2.3913405652650965,0.11969948920460244
40030,1.8668309078538874,0.12525050100200324,0.23382150649472394,15.83850328329221,1.9837804713542226,0.11786662378781575
47090,1.8681169471404577,0.07733062788862526,0.14446265649175336,16.10678974052049,1.245548163904517,0.11598319573519743
52700,1.7990812972598802,0.12667695595393466,0.22790214225053748,15.6686739695818,1.9848599223012762,0.11482026499195185
56340,1.8566636157727565,0.09488772097467635,0.17617457911727902,16.20496864443718,1.5376525431367343,0.11457372467117422
62680,1.845578483896913,0.16095030951982522,0.2970464282263379,15.496710628984049,2.494200372274148,0.11909485361655149
68110,1.9643493385502246,0.18227248816412317,0.358046841561099,15.75367067855115,2.871460752297709,0.1246915324454963
77480,1.8141607296001796,0.1543991416309003,0.2801048594307555,15.376166932372586,2.3740669759317607,0.11798523894669043
86820,1.7603681895902665,0.1831125173027477,0.3223454505755543,14.909083404097514,2.7300397928009144,0.11807353556734806
87830,1.790067929365977,0.178457163170991,0.31945044455802213,15.0592849126538,2.687437264895902,0.11886805646806271
94000,1.8128189593683757,0.17197875166002521,0.3117663416177992,15.264237920820209,2.625124582664278,0.11876249366473224
99590,1.814564221321894,0.17240836872738646,0.312846057349188,15.272907360276578,2.633177043709779,0.11880935165241742
101130,1.7618818925647755,0.14655928554341718,0.2582201513861772,15.411818472705798,2.2587451042846007,0.11432018198793696
103370,1.7920250939884326,0.14958466871606946,0.2680594800151429,15.346594211637608,2.295615211067761,0.11677021424268236
106790,1.8805276177874104,0.1311867266591666,0.24670026256969074,15.95368348921963,2.092911515107115,0.11787419620416424
111630,1.8027385976788044,0.1751032130676714,0.31566532077466686,15.19114126644015,2.660017645918565,0.11867038598748106
120380,1.8558256298850657,0.1424093148231066,0.2642868563830924,15.528082430583066,2.211343579456054,0.1195141536748901
121250,1.8615840241531019,0.19381547820209452,0.3608037978546129,14.930740064182352,2.893808525450674,0.12468129618162013
122030,1.8738593738656637,0.19260010136847344,0.360905505356791,14.962804938512475,2.8818377479141977,0.12523449858272048
123340,1.941315296513343,0.19612690564482813,0.3807441619861339,15.809202443363372,3.100609955929514,0.12279653597125628
123860,2.009198574442241,0.23052664774519013,0.46317381202058466,15.476110860801944,3.567655956873601,0.12982580652941433
