knockouts;extinction;families_remaining;color
0.0;;1.0;black
0.00909090909090909;Licmophoraceae;0.9090909090909091;black
0.01818181818181818;Leptolyngbyaceae;0.8363636363636363;black
0.02727272727272727;Microcoleaceae;0.7909090909090909;black
0.03636363636363636;Monodontidae;0.6636363636363637;#CC3311
0.045454545454545456;Attheyaceae;0.6272727272727273;#0077BB
0.05454545454545454;Ulnariaceae;0.6;black
0.06363636363636363;Sparidae;0.5727272727272728;#CC3311
0.07272727272727272;Syngnathidae;0.5454545454545454;black
0.08181818181818182;Kryptoperidiniaceae;0.5181818181818182;black
0.09090909090909091;Tetragonicipitidae;0.4909090909090909;black
0.1;Phaeocystaceae;0.4636363636363636;#0077BB
0.10909090909090909;Blenniidae;0.44545454545454544;black
0.11818181818181818;Bacillariaceae;0.3;#0077BB
0.12727272727272726;Sphaerozoidae;0.2818181818181818;black
0.13636363636363635;Entomoneidaceae;0.2636363636363636;black
0.14545454545454545;Staurosiraceae;0.24545454545454545;black
0.15454545454545454;Plagiogrammaceae;0.22727272727272727;black
0.16363636363636364;Biddulphiaceae;0.20909090909090908;black
0.17272727272727273;Bathycoccaceae;0.19090909090909092;black
0.18181818181818182;Fragilariaceae;0.17272727272727273;black
0.19090909090909092;Stephanodiscaceae;0.15454545454545454;black
0.2;Aplysiidae;0.13636363636363635;black
0.20909090909090908;Naviculaceae;0.1;black
0.21818181818181817;Rhizosoleniaceae;0.08181818181818182;black
0.22727272727272727;Acanthocerataceae;0.045454545454545456;black
0.23636363636363636;Triceratiaceae;0.02727272727272727;black
0.24545454545454545;Lithodesmiaceae;0.01818181818181818;black
0.2545454545454545;Cymatosiraceae;0.00909090909090909;black
