years_BP,AMI,T,A,H,DC,A/DC
1820,2.5058993036231456,0.8930693069306905,2.237941754324823,14.542810349278932,12.98773755945501,0.1723119014439595
3220,2.1848967220461484,0.9319593450028221,2.0362349179769414,13.513091968279584,12.593652339720737,0.16168740116436267
4680,3.9263824882363925,0.42185686653771365,1.656371413315956,18.856874554316647,7.954902012178766,0.20822021575879762
7210,2.3585518181279634,0.9229556398346569,2.176838702383488,14.031813636256421,12.950741532691708,0.16808602788407664
7970,3.976973840705963,0.6840997896002369,2.7206469676725953,18.064846923607117,12.358157979600115,0.22014987768918534
9190,4.087183005751789,0.6444274028629825,2.6338927294223438,18.939948036446,12.205421523486741,0.21579694927815288
10150,4.0178197383988445,0.6819327731092398,2.7398829560593647,18.534165660586023,12.639054986189473,0.2167790993118709
11200,3.486921026464533,0.7497329059829014,2.614259434104136,15.95595189852325,11.962702184603229,0.21853419016556785
11740,3.9880794540296756,0.6658893034825812,2.6556194498770136,18.435910404313034,12.276275538195279,0.2163212646714032
12430,4.230267085870346,0.6465959004392349,2.7352733554867945,19.471306938664885,12.590067242734744,0.21725645326201243
12620,4.143235044587191,0.6606321839080421,2.73715441594997,18.93614807734568,12.509828859142951,0.21880030868283937
13090,4.012683616164916,0.6551724137931002,2.6289996105907942,18.525962524783683,12.137699585203043,0.21659784806305335
14330,3.832810809624438,0.5803443328550886,2.2243500322712664,18.191441320490625,10.557299876812623,0.21069308044916735
14990,3.9527799642340984,0.569863540265227,2.2525451843079005,18.8064678679631,10.717120359121688,0.21018194336043697
16090,3.9126443671359112,0.5252898672491961,2.0552724402061378,19.142848015216973,10.055544092684862,0.20439196738257984
17540,3.8444695532618818,0.39010767160161025,1.4997570659662753,19.71781114342658,7.692069394242427,0.19497445864033092
18750,3.924093481737821,0.4577838671005265,1.7963866889339088,19.484526804279902,8.919702029087116,0.20139536983140227
20500,3.9571229215701833,0.5147679324894487,2.0369999849432903,19.555439012294798,10.066512909282501,0.20235408262030224
24550,3.949888408736161,0.4304779285958679,1.7003397803775715,19.91084752335841,8.571180398443495,0.1983787181385599
26650,3.8547447057108144,0.483309908643708,1.8630363115619106,19.475462917797604,9.412684203594683,0.1979282711779942
32240,3.7630567602734466,0.40226628895183675,1.5137508780703208,19.55723382361966,7.867215872390822,0.19241252593343378
38110,3.9764478171835447,0.49225268176400155,1.95741710190321,19.390849592871053,9.545197713773174,0.20506826161167613
40030,3.9847090916637042,0.43458345261952136,1.7316886347396094,19.824612333064298,8.615448474546627,0.20099808383227974
47090,3.8156801023312736,0.330627888625857,1.261570255905483,19.87155677643803,6.570090860702547,0.19201717033340723
52700,3.9668165257082144,0.46384898492223287,1.8400038188224936,19.63350062396275,9.106979334895147,0.20204326277234036
56340,3.82683120322565,0.36493072145245564,1.3965282718699052,19.707521536414546,7.191880052323567,0.1941812518715064
62680,3.8704124429713174,0.5787184206123422,2.239878976114718,19.152516985077742,11.08391438035525,0.2020837494093786
68110,3.9338726574491134,0.5499736980536502,2.163526493089429,18.96061922466596,10.427841872376671,0.20747595903046875
77480,3.719585073152001,0.6595493562231719,2.453249940414722,18.740616798859193,12.360361744912742,0.19847719597886582
86820,3.7975468618188106,0.7605299584733987,2.8881481571198453,18.55260348894149,14.109810761018101,0.20469077906410202
87830,3.772826218580361,0.7469783149662252,2.8182193714155535,18.506648321158387,13.824064978611414,0.20386329026779756
94000,3.784420721932399,0.7725763612217722,2.923753990682805,18.653345495365844,14.41113378742228,0.20288160763829652
99590,3.8274933103126156,0.7193644801006723,2.753362735261836,18.900321969617778,13.596220287409409,0.2025094237265006
101130,3.77221867672283,0.6926879834143971,2.6129705481772625,18.609157635154325,12.89033987533568,0.20270765344030292
103370,3.6710365612126408,0.7243770030741004,2.659214462386664,18.41167587697289,13.33699459333333,0.19938633428822913
106790,3.7375095469823845,0.7031777277840227,2.628133470818165,18.44729011912356,12.971723549737959,0.20260480118474739
111630,3.5749943424956605,0.8173577454675958,2.922049315841663,18.263759712561303,14.928025462421012,0.1957425195446959
120380,3.7109139529240043,0.8096730855351495,3.004627150419417,18.230500949206487,14.760745954395487,0.20355523763517472
121250,3.937329295845869,0.816154106116926,3.213467471939071,18.53075893577821,15.123954994898302,0.2124753394877898
122030,3.9567237325598095,0.8325730697752937,3.294261624270079,18.205397855946856,15.157323979406224,0.21733794360705674
123340,3.940685241928675,0.8187062216728416,3.2262635252213534,17.919662273388305,14.670938993499101,0.21990845484743382
123860,4.0874224508603,0.822768842636388,3.363003839260318,18.419044136309523,15.154615626499936,0.22191284306674475
