phototrophic protists,1
chlorophytes,1
phototrophic bacteria,1
heterotrophic protists,2
red algae,1
sessile/sedimentary benthos,2
fish/nekton,3
demersal fish,3
mobile benthos,3
crustaceans,3
mammals,4
brown algae,1
streptophytes,1
gelatinous zooplankton,2
crustaceous zooplankton,2
slime mold,2
