"SSTs"	"IP25"	"Age"
"1.08"	10.78591	0.002603103	"1.08"
"1.75"	10.6324002378485	0.00290777043315211	"1.75"
"2.36"	10.8970197518111	0.00230273254429236	"2.36"
"2.99"	10.8282996390034	0.0025988055839015	"2.99"
"3.66"	10.4795497839947	0.0028049666074859	"3.66"
"4.31"	10.066900112847	0.00317179190952753	"4.31"
"5.6"	10.0524498195672	0.0036750386160302	"5.6"
"6.26"	9.94351007679324	0.00334359843429625	"6.26"
"7.56"	10.1078201612223	0.00295684385989228	"7.56"
"8.29"	10.3755000847401	0.00347592330096199	"8.29"
"9.84"	10.810249691311	0.0028539192742065	"9.84"
"10.73"	10.5016993454189	0.00261220510897624	"10.73"
"11.17"	10.3969984185826	0.00290442013105495	"11.17"
"11.56"	9.88030841857272	0.00467600086653175	"11.56"
"12.13"	7.99161096262826	0.0198906131926267	"12.13"
"12.61"	7.26680182646295	0.0334309319619015	"12.61"
"13.62"	9.17728931556018	0.00686109783037843	"13.62"
"14.03"	9.21668927627456	0.00382554671399996	"14.03"
"15.6"	7.12000017105183	0.0139243974144432	"15.6"
"15.91"	6.86050984684247	0.0185751598781086	"15.91"
"16.5"	6.50459986876421	0.0217823861928562	"16.5"
"17.34"	5.98235093340145	0.01809398	"17.34"
"18.39"	7.15234999389334	0.01809398	"18.39"
"19.3"	6.546434	0.01809398	"19.3"
"19.9"	6.546434	0.01809398	"19.9"
